spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.02,,25.0,validation,60,0.09542516718771599,0.15365140814969308,0.6210497406880199,0.13293070777490668,0.15369901340397116,0.8648767798237026,-0.20498642488244034,-0.03146842299327139,1.1314362335418198,1.5999999999999994,1.0,0.06156451604979973,0.6410824792683576,1242.6666666666667,1170.9333333333334,475,814,-0.04406981788901485,1.182582070965074,-1.4136412814533752,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.0,,25.0,test,107,0.128076202235194,0.1502297585033668,0.8525354996981086,0.16257482911533505,0.15036655351543346,1.081190100554167,-0.30731959148917165,-0.03185902144341202,1.015337737148511,1.5999999999999999,1.0,0.08129803973659189,0.8658528435005896,1624.7570093457944,1621.7102803738317,1417,1277,0.009397396922178907,0.8143368926613256,0.33168312920709053,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.2__absolute__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,absolute,0.0,,25.0,validation,60,0.09747135966821907,0.1517150949927153,0.6424631621059146,0.130679717307568,0.15178757765107945,0.8609381566650139,-0.2052401433025628,-0.03057670876977864,1.0020283455137935,1.5999999999999994,1.0,0.06272344306650135,0.661486643179579,1351.5166666666667,1350.5166666666667,1302,1301,-0.04163494562662613,1.1755720355000472,-1.3949814540504213,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__none__thrna__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,none,,,25.0,test,107,0.12829138373734694,0.1503071921145057,0.8535279112899211,0.16279501387065198,0.15044681352708408,1.0820768486488743,-0.30731959148917165,-0.031718224804541374,1.0153199753872038,1.5999999999999999,1.0,0.08143008328477275,0.8668123688744145,1624.7570093457944,1623.7570093457944,1417,1416,0.009555998462924833,0.8146346939930686,0.33698438021967675,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.2__none__thrna__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,none,,,25.0,validation,60,0.09747135966821907,0.1517150949927153,0.6424631621059146,0.130679717307568,0.15178757765107945,0.8609381566650139,-0.2052401433025628,-0.03057670876977864,1.0020283455137935,1.5999999999999994,1.0,0.06272344306650135,0.661486643179579,1351.5166666666667,1350.5166666666667,1302,1301,-0.04163494562662613,1.1755720355000472,-1.3949814540504213,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__q0.2__sign__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,sign,0.0,,25.0,test,107,0.128076202235194,0.1502297585033668,0.8525354996981086,0.16257482911533505,0.15036655351543346,1.081190100554167,-0.30731959148917165,-0.03185902144341202,1.015337737148511,1.5999999999999999,1.0,0.08129803973659189,0.8658528435005896,1624.7570093457944,1621.7102803738317,1417,1277,0.009397396922178907,0.8143368926613256,0.33168312920709053,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__q0.2__sign__thr0__zna__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,0.2,sign,0.0,,25.0,validation,60,0.09747135966821907,0.1517150949927153,0.6424631621059146,0.130679717307568,0.15178757765107945,0.8609381566650139,-0.2052401433025628,-0.03057670876977864,1.0020283455137935,1.5999999999999994,1.0,0.06272344306650135,0.661486643179579,1351.5166666666667,1350.5166666666667,1302,1301,-0.04163494562662613,1.1755720355000472,-1.3949814540504213,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__qna__zscore__thrna__z0.25__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,,zscore,,0.25,25.0,test,107,0.1116894190965203,0.13817932807775246,0.808293256670589,0.13579291697231133,0.1381765975626787,0.982749028182677,-0.29675639016323974,-0.03069265323693336,0.7212932082347661,1.6,1.0,0.07101236626731966,0.8222632691033093,4196.77570093458,2091.2056074766356,2364,1520,-0.0021170021557715512,0.7817541099143565,-0.09184531648028516,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
dl_xgb__mlp_score__long_short_130_30__qna__zscore__thrna__z0.25__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,,zscore,,0.25,25.0,validation,60,0.09007884939353406,0.1299910948013553,0.6929616950390889,0.11835643978961574,0.13023277233676747,0.9088068822151705,-0.17252516993884814,-0.028075033369493123,0.8612598361767244,1.5999999999999994,1.0,0.05752136453521062,0.7080037551570606,3129.7833333333333,1800.2333333333333,1957,1503,-0.031555383965862535,1.0163287330541724,-1.2908640935019882,60,0.07356422897767818,6.343087478421239,0.85,60
dl_xgb__mlp_score__long_short_130_30__qna__zscore__thrna__z0.5__cost25,dl_xgb_predictions.parquet,dl_xgb__mlp_score,prediction_mlp_score,MLP,long_short_130_30,,zscore,,0.5,25.0,test,107,0.10698917158290411,0.15007322819296856,0.7129131082949338,0.14526716497673897,0.15019172949621762,0.9672114800462254,-0.30772990424147606,-0.03703550322242532,1.1438583156578284,1.6,1.0,0.06860963595969838,0.7314790176590652,2176.214953271028,1685.6635514018692,827,1132,-0.012498210191317756,0.8336117136157245,-0.4712837082899822,107,0.09571374348361604,7.734405707773628,0.7850467289719626,107
