spec_id,split,model_family,score_label,rule,q,gate_type,threshold,overlay_method,method_label,base_annualized_return,overlay_annualized_return,delta_annualized_return,base_annualized_volatility,overlay_annualized_volatility,delta_annualized_volatility,base_sharpe,overlay_sharpe,delta_sharpe,base_average_drawdown,overlay_average_drawdown,delta_average_drawdown,base_max_drawdown,overlay_max_drawdown,delta_max_drawdown,overlay_average_lambda,overlay_average_turnover
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.12452051557038879,0.11237331905366599,-0.012147196516722802,0.11954174011120336,0.1027272660872586,-0.01681447402394476,1.0416488454539305,1.093899636715863,0.05225079126193255,-0.04735500983054339,-0.037341093206655344,0.010013916623888043,-0.2903506020399632,-0.1945580233726827,0.09579257866728053,0.8626168224299063,0.6970323587694728
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.12452051557038879,0.10460059276942957,-0.019919922800959222,0.11954174011120336,0.09846237664294101,-0.02107936346826235,1.0416488454539305,1.0623407268417648,0.020691881387834288,-0.04735500983054339,-0.03874968384987851,0.00860532598066488,-0.2903506020399632,-0.17192221742179092,0.11842838461817229,0.8163236650283512,0.6827489798208276
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.01,dd_speed_phase_control,DD speed/phase,0.15875903198486974,0.1372354813091683,-0.02152355067570144,0.13330634687010676,0.12253725859145984,-0.010769088278646921,1.1909337830670883,1.1199490088701303,-0.07098477419695803,-0.037968905082219395,-0.03875894096545104,-0.000790035883231642,-0.24488986401171375,-0.22118729512855873,0.02370256888315503,0.8841121495327102,0.7639065783967882
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.01,dd_speed_phase_vol_target,DD speed/phase + vol target,0.15875903198486974,0.1426278689773388,-0.016131163007530924,0.13330634687010676,0.11531841538442353,-0.01798793148568323,1.1909337830670883,1.236817801405586,0.045884018338497645,-0.037968905082219395,-0.034034548577216134,0.003934356505003261,-0.24488986401171375,-0.17053683443241519,0.07435302957929857,0.8512976610497427,0.7530534006462469
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.0,dd_speed_phase_control,DD speed/phase,0.11771168229027484,0.11130898338204709,-0.006402698908227755,0.11068216467663992,0.0948390744657475,-0.01584309021089242,1.063510843270655,1.1736616369263275,0.11015079365567249,-0.04670281786650699,-0.030805688158149998,0.015897129708356994,-0.2812531742950004,-0.16684457171560452,0.11440860257939589,0.8514018691588785,0.6458157605573355
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__absolute__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,absolute,0.0,dd_speed_phase_vol_target,DD speed/phase + vol target,0.11771168229027484,0.1029387880386492,-0.014772894251625646,0.11068216467663992,0.09199676277458431,-0.018685401902055615,1.063510843270655,1.1189392423609041,0.0554283990902491,-0.04670281786650699,-0.033269843928319914,0.013432973938187077,-0.2812531742950004,-0.158830536801999,0.12242263749300142,0.8151186233118755,0.6375270095992757
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__sign__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,sign,0.0,dd_speed_phase_control,DD speed/phase,0.11771168229027484,0.11130898338204709,-0.006402698908227755,0.11068216467663992,0.0948390744657475,-0.01584309021089242,1.063510843270655,1.1736616369263275,0.11015079365567249,-0.04670281786650699,-0.030805688158149998,0.015897129708356994,-0.2812531742950004,-0.16684457171560452,0.11440860257939589,0.8514018691588785,0.6458157605573355
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__gross_normalized_long_short__q0.2__sign__thr0__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,gross_normalized_long_short,0.2,sign,0.0,dd_speed_phase_vol_target,DD speed/phase + vol target,0.11771168229027484,0.1029387880386492,-0.014772894251625646,0.11068216467663992,0.09199676277458431,-0.018685401902055615,1.063510843270655,1.1189392423609041,0.0554283990902491,-0.04670281786650699,-0.033269843928319914,0.013432973938187077,-0.2812531742950004,-0.158830536801999,0.12242263749300142,0.8151186233118755,0.6375270095992757
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__long_short_130_30__q0.2__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,long_short_130_30,0.2,absolute,0.005,dd_speed_phase_control,DD speed/phase,0.2298939814214016,0.17446769749815316,-0.05542628392324844,0.20979736253023581,0.1641664901216786,-0.045630872408557205,1.0957906174262295,1.0627485388086169,-0.03304207861761266,-0.029016657812599513,-0.0392170969678285,-0.010200439155228985,-0.3751720733852638,-0.26774823405451365,0.10742383933075017,0.8948598130841121,1.033433595424197
dl_xgb__dl_xgb_predictions_prob_temporal_er_train__long_short_130_30__q0.2__absolute__thr0.005__zna__cost25,test,TTT,dl_xgb__dl_xgb_predictions_prob_temporal_er_train,long_short_130_30,0.2,absolute,0.005,dd_speed_phase_vol_target,DD speed/phase + vol target,0.2298939814214016,0.14862600510422475,-0.08126797631717686,0.20979736253023581,0.14419096616101376,-0.06560639636922205,1.0957906174262295,1.0307580915870866,-0.06503252583914287,-0.029016657812599513,-0.043938800786700045,-0.014922142974100532,-0.3751720733852638,-0.1945891425793136,0.18058293080595023,0.834824886350504,0.989863494783864
