model,split,MthCalDt,rank_ic_t,num_obs
xgb_classifier,test,2016-10-31,-0.0168717517749479,7107
xgb_classifier,test,2016-11-30,0.12141189059266862,7096
xgb_classifier,test,2016-12-30,-0.024817245529893527,7108
xgb_classifier,test,2017-01-31,0.0579896289170637,7126
xgb_classifier,test,2017-02-28,0.009146429365523965,7109
xgb_classifier,test,2017-03-31,0.15602649061616128,7110
xgb_classifier,test,2017-04-28,0.10103222588495804,7129
xgb_classifier,test,2017-05-31,0.04880961226646859,7144
xgb_classifier,test,2017-06-30,0.13422391279968313,7146
xgb_classifier,test,2017-07-31,0.09731445368023195,7157
xgb_classifier,test,2017-08-31,0.03292651917853739,7132
xgb_classifier,test,2017-09-29,0.20915319941310742,7116
xgb_classifier,test,2017-10-31,0.04810803846660187,7152
xgb_classifier,test,2017-11-30,-0.018334416512290622,7206
xgb_classifier,test,2017-12-29,0.0876587843747588,7205
xgb_classifier,test,2018-01-31,0.01602437257349459,7242
xgb_classifier,test,2018-02-28,0.07263789679474947,7264
xgb_classifier,test,2018-03-29,0.003941366649997599,7211
xgb_classifier,test,2018-04-30,-0.015586589797249474,7258
xgb_classifier,test,2018-05-31,0.03132885597142407,7270
xgb_classifier,test,2018-06-29,0.13945795813333844,7322
xgb_classifier,test,2018-07-31,0.009967234780037505,7355
xgb_classifier,test,2018-08-31,0.05679402037502503,7344
xgb_classifier,test,2018-09-28,0.09636685562493215,7373
xgb_classifier,test,2018-10-31,0.09255767364442673,7413
xgb_classifier,test,2018-11-30,0.23727445840503197,7412
xgb_classifier,test,2018-12-31,-0.19213084661301402,7407
xgb_classifier,test,2019-01-31,-0.0006054285666243759,7408
xgb_classifier,test,2019-02-28,0.1283489218834758,7390
xgb_classifier,test,2019-03-29,0.12182631797903055,7390
xgb_classifier,test,2019-04-30,0.26326535687478825,7396
xgb_classifier,test,2019-05-31,0.09877988008339468,7458
xgb_classifier,test,2019-06-28,0.14813350544059917,7471
xgb_classifier,test,2019-07-31,-0.01699729471449769,7494
xgb_classifier,test,2019-08-30,0.03074859437455146,7486
xgb_classifier,test,2019-09-30,0.060721617823946715,7500
xgb_classifier,test,2019-10-31,-0.05247668211313174,7504
xgb_classifier,test,2019-11-29,-0.0037995947719671893,7501
xgb_classifier,test,2019-12-31,0.07458551497981793,7500
xgb_classifier,test,2020-01-31,0.15572691780289316,7506
xgb_classifier,test,2020-02-28,0.24840540552035684,7506
xgb_classifier,test,2020-03-31,-0.10495831401867801,7475
xgb_classifier,test,2020-04-30,-0.046337127355932255,7480
xgb_classifier,test,2020-05-29,-0.1339040321838869,7473
xgb_classifier,test,2020-06-30,0.05973236180047435,7519
xgb_classifier,test,2020-07-31,-0.01078597462275636,7547
xgb_classifier,test,2020-08-31,0.10956634733975275,7574
xgb_classifier,test,2020-09-30,0.015158910618864995,7628
xgb_classifier,test,2020-10-30,-0.2691283427541595,7701
xgb_classifier,test,2020-11-30,-0.07533734475016605,7773
xgb_classifier,test,2020-12-31,-0.197869531463433,7875
xgb_classifier,test,2021-01-29,-0.02717554901958533,7964
xgb_classifier,test,2021-02-26,0.2300342645393682,8055
xgb_classifier,test,2021-03-31,0.2568825955166769,8212
xgb_classifier,test,2021-04-30,0.24355722717582642,8360
xgb_classifier,test,2021-05-28,-0.11078306737281261,8479
xgb_classifier,test,2021-06-30,0.26861527547918024,8587
