model,split,mean_rank_ic,rank_ic_tstat,hit_rate,mean_top_bottom_spread,spread_tstat,num_months
temporal_tabular_transformer_seed362559_er_train,validation,0.053489244923700406,3.30793459002593,0.7166666666666667,0.010086741298437119,2.340950128495867,60
ft_reg_seed362559_er_train,validation,0.05335157836008785,4.513244477005754,0.7666666666666667,0.006763063371181488,1.9867672438868509,60
temporal_tabular_small_ft_warmstart_er_train,validation,0.05069009242350046,4.164906412674895,0.7,0.009191920049488544,3.004092717714025,60
temporal_tabular_small_mlp_branch_er_train,validation,0.05056680315265607,3.635593008484597,0.7333333333333333,0.008949282579123974,2.6017547250261646,60
temporal_tabular_small_random_er_train,test,0.04801732133115672,5.90781181457214,0.6542056074766355,0.00861367303878069,2.5911413944496458,107
ft_lr2e5_seed362559_er_train,validation,0.04712430205880832,3.848988411771182,0.6833333333333333,0.007183989509940147,1.9246930024622009,60
temporal_tabular_small_mlp_warmstart_er_train,validation,0.04105012226735031,2.531479926636879,0.7,0.008083551190793514,1.8739641438464443,60
mlp_er_train,validation,0.039677749398340886,2.465300098315893,0.6833333333333333,0.007801172323524952,1.7326760067845275,60
ft_base_seed362559_er_train,validation,0.03778416078324016,2.877630824392779,0.6833333333333333,0.006680697202682495,1.8510681859447766,60
xgb_er_train,validation,0.019551227855006775,1.5098063776525514,0.65,0.006614715792238712,1.7021324414078631,60
xgb_er_train,test,0.00850493159824758,0.814630653180505,0.5514018691588785,0.007390033919364214,1.786269120360194,107
